id,fecha,vendedor,region,categoria,producto,cantidad,precio_unitario,descuento,cliente,edad_cliente,genero
35,2024-03-10,Ana Garcia,Norte,Electronica,Tablet,4,18000.00,0.05,Manuel Diaz,31,M
36,2024-03-12,Luis Soto,Oeste,Ropa,Zapatos,11,3200.00,0.00,Silvia Mora,27,F
37,2024-03-14,Carlos Lopez,Sur,Electronica,Laptop,1,35000.00,0.00,Jorge Herrera,49,M
38,2024-03-16,Maria Perez,Este,Alimentacion,Aceite 1L,22,180.00,0.05,Lorena Medina,33,F
39,2024-03-18,Ana Garcia,Norte,Hogar,Plancha,6,2800.00,0.00,Sergio Blanco,38,M
40,2024-03-20,Luis Soto,Oeste,Electronica,Monitor,1,28000.00,0.10,Teresa Campos,46,F
41,2024-03-22,Carlos Lopez,Sur,Alimentacion,Arroz 5lb,32,250.00,0.00,Julio Santos,25,M
42,2024-03-24,Maria Perez,Este,Electronica,Audifonos,15,1200.00,0.05,Patricia Cruz,35,F
43,2024-03-26,Ana Garcia,Norte,Ropa,Chaqueta,8,4500.00,0.00,Roberto Rios,52,M
44,2024-03-28,Luis Soto,Oeste,Alimentacion,Leche 1L,45,120.00,0.00,Alejandra Fuentes,28,F
45,2024-03-30,Carlos Lopez,Sur,Hogar,Sarten,10,950.00,0.05,Victor Vargas,41,M
46,Ana Garcia,Norte,Electronica,Mouse,5,650.00,0.00,Carmen Lopez,30,F
47,2024-04-02,Carlos Lopez,Ropa,Camiseta,8,850.00,0.10,Luis Gonzalez,22,M
48,2024-04-04,Maria Perez,Este,Laptop,2,35000.00,0.05,Rosa Jimenez,37,F
49,2024-04-06,Luis Soto,Oeste,Hogar,Plancha,4,2800.00,0.00,Antonio Moreno,43,M
50,2024-04-08,Ana Garcia,Norte,Alimentacion,Arroz 5lb,20,250.00,,Isabel Pena,31,F
51,2024-04-10,Carlos Lopez,Sur,Electronica,Tablet,2,18000.00,0.05,Miguel Torres,48,M
52,2024-04-12,Maria Perez,Este,Ropa,Vestido,6,2200.00,0.00,Sandra Herrera,26,F
53,2024-04-14,Ana Garcia,Norte,Hogar,Licuadora,4,3500.00,0.10,Felipe Medina,34,M
54,2024-04-16,Luis Soto,Oeste,Electronica,Teclado,7,1800.00,0.05,Gloria Blanco,29,F
55,2024-04-18,Carlos Lopez,Sur,Alimentacion,Leche 1L,35,120.00,0.00,Arturo Campos,55,M
56,2024-04-20,Maria Perez,Este,Electronica,Mouse,18,650.00,0.00,Pilar Santos,32,F
57,2024-04-22,Ana Garcia,Norte,Ropa,Pantalon,9,1500.00,0.05,Rodrigo Cruz,44,M
58,2024-04-24,Luis Soto,Oeste,Hogar,Microondas,2,12000.00,0.00,Marta Rios,27,F
59,2024-04-26,Carlos Lopez,Sur,Electronica,Audifonos,12,1200.00,0.10,Gustavo Fuentes,39,M
60,2024-04-28,Maria Perez,Este,Alimentacion,Pasta 500g,40,95.00,0.00,Alicia Vargas,33,F
61,2024-04-30,Ana Garcia,Norte,Electronica,Laptop,1,35000.00,0.05,Bernardo Lopez,47,M
62,2024-05-02,Luis Soto,Oeste,Ropa,Zapatos,8,3200.00,0.00,Cecilia Gonzalez,30,F
63,2024-05-04,Carlos Lopez,Sur,Alimentacion,Arroz 5lb,25,250.00,0.00,Damian Jimenez,25,M
64,2024-05-06,Maria Perez,Este,Hogar,Plancha,5,2800.00,0.05,Elena Moreno,42,F
65,2024-05-08,Ana Garcia,Norte,Electronica,Monitor,3,28000.00,0.00,Fabian Pena,36,M
66,2024-05-10,Luis Soto,Oeste,Electronica,Tablet,2,18000.00,0.10,Graciela Torres,28,F
67,2024-05-12,Carlos Lopez,Sur,Hogar,Licuadora,6,3500.00,0.05,Humberto Herrera,51,M
68,2024-05-14,Maria Perez,Este,Ropa,Chaqueta,4,4500.00,0.00,Irene Medina,35,F
69,2024-05-16,Ana Garcia,Norte,Alimentacion,Leche 1L,30,120.00,0.00,Jacobo Blanco,29,M
70,2024-05-18,Luis Soto,Oeste,Electronica,Mouse,20,650.00,0.05,Karen Campos,40,F
71,2024-05-20,Carlos Lopez,Sur,Ropa,Vestido,9,2200.00,0.00,Leonardo Santos,33,M
72,2024-05-22,Maria Perez,Este,Alimentacion,Aceite 1L,18,180.00,0.10,Miriam Cruz,26,F
73,2024-05-24,Ana Garcia,Norte,Electronica,Teclado,8,1800.00,0.05,Nelson Rios,45,M
74,2024-05-26,Luis Soto,Oeste,Hogar,Sarten,9,950.00,0.00,Olga Fuentes,31,F
75,2024-05-28,Carlos Lopez,Sur,Electronica,Audifonos,14,1200.00,0.00,Pablo Vargas,38,M
3,2024-01-07,Maria Perez,Este,Alimentacion,Arroz 5lb,30,250.00,0.10,Pedro Gomez,45,M
10,2024-01-19,Carlos Lopez,Sur,Electronica,Teclado,6,1800.00,0.05,Sofia Reyes,33,F
