id,fecha,vendedor,region,categoria,producto,cantidad,precio_unitario,descuento,cliente,edad_cliente,genero,venta_bruta,venta_neta,mes,trimestre,nivel_venta,meta_ventas
22,2024-02-13,Carlos Lopez,Sur,Electronica,Mouse,14.0,650.0,0.05,Beatriz Salazar,35.0,F,9100.0,8645.0,2,1,Media,140000
23,2024-02-15,Maria Perez,Este,Ropa,Camiseta,22.0,850.0,0.0,Hector Medina,48.0,M,18700.0,18700.0,2,1,Media,160000
24,2024-02-17,Ana Garcia,Norte,Alimentacion,Arroz 5Lb,18.0,250.0,0.0,Natalia Cruz,30.0,F,4500.0,4500.0,2,1,Baja,150000
25,2024-02-19,Luis Soto,Oeste,Hogar,Sarten,7.0,950.0,0.05,Oscar Jimenez,37.0,M,6650.0,6317.5,2,1,Media,130000
26,2024-02-21,Carlos Lopez,Sur,Electronica,Teclado,9.0,1800.0,0.0,Valeria Moreno,26.0,F,16200.0,16200.0,2,1,Media,140000
27,2024-02-23,Maria Perez,Este,Electronica,Mouse,16.0,650.0,0.05,Ernesto Campos,43.0,M,10400.0,9880.0,2,1,Media,160000
28,2024-02-25,Ana Garcia,Norte,Hogar,Licuadora,3.0,3500.0,0.1,Claudia Santos,32.0,F,10500.0,9450.0,2,1,Media,150000
29,2024-02-27,Luis Soto,Oeste,Alimentacion,Leche 1L,50.0,120.0,0.0,Rafael Guerrero,51.0,M,6000.0,6000.0,2,1,Media,130000
30,2024-02-29,Carlos Lopez,Sur,Ropa,Pantalon,12.0,1500.0,0.05,Monica Aguilar,24.0,F,18000.0,17100.0,2,1,Media,140000
31,2024-03-02,Ana Garcia,Norte,Electronica,Monitor,2.0,28000.0,0.05,Nicolas Soto,40.0,M,56000.0,53200.0,3,1,Alta,150000
32,2024-03-04,Luis Soto,Oeste,Alimentacion,Pasta 500G,28.0,95.0,0.0,Daniela Rojas,29.0,F,2660.0,2660.0,3,1,Baja,130000
33,2024-03-06,Carlos Lopez,Sur,Hogar,Microondas,3.0,12000.0,0.1,Eduardo Vega,36.0,M,36000.0,32400.0,3,1,Alta,140000
34,2024-03-08,Maria Perez,Este,Ropa,Vestido,5.0,2200.0,0.0,Adriana Torres,44.0,F,11000.0,11000.0,3,1,Media,160000
35,2024-03-10,Ana Garcia,Norte,Electronica,Tablet,4.0,18000.0,0.05,Manuel Diaz,31.0,M,72000.0,68400.0,3,1,Alta,150000
36,2024-03-12,Luis Soto,Oeste,Ropa,Zapatos,11.0,3200.0,0.0,Silvia Mora,27.0,F,35200.0,35200.0,3,1,Alta,130000
37,2024-03-14,Carlos Lopez,Sur,Electronica,Laptop,1.0,35000.0,0.0,Jorge Herrera,49.0,M,35000.0,35000.0,3,1,Alta,140000
38,2024-03-16,Maria Perez,Este,Alimentacion,Aceite 1L,22.0,180.0,0.05,Lorena Medina,33.0,F,3960.0,3762.0,3,1,Baja,160000
39,2024-03-18,Ana Garcia,Norte,Hogar,Plancha,6.0,2800.0,0.0,Sergio Blanco,38.0,M,16800.0,16800.0,3,1,Media,150000
40,2024-03-20,Luis Soto,Oeste,Electronica,Monitor,1.0,28000.0,0.1,Teresa Campos,46.0,F,28000.0,25200.0,3,1,Alta,130000
41,2024-03-22,Carlos Lopez,Sur,Alimentacion,Arroz 5Lb,32.0,250.0,0.0,Julio Santos,25.0,M,8000.0,8000.0,3,1,Media,140000
42,2024-03-24,Maria Perez,Este,Electronica,Audifonos,15.0,1200.0,0.05,Patricia Cruz,35.0,F,18000.0,17100.0,3,1,Media,160000
43,2024-03-26,Ana Garcia,Norte,Ropa,Chaqueta,8.0,4500.0,0.0,Roberto Rios,52.0,M,36000.0,36000.0,3,1,Alta,150000
44,2024-03-28,Luis Soto,Oeste,Alimentacion,Leche 1L,45.0,120.0,0.0,Alejandra Fuentes,28.0,F,5400.0,5400.0,3,1,Media,130000
45,2024-03-30,Carlos Lopez,Sur,Hogar,Sarten,10.0,950.0,0.05,Victor Vargas,41.0,M,9500.0,9025.0,3,1,Media,140000
46,2024-04-01,Ana Garcia,Norte,Electronica,Mouse,5.0,650.0,0.0,Carmen Lopez,30.0,F,3250.0,3250.0,4,2,Baja,150000
47,2024-04-02,Carlos Lopez,Sur,Ropa,Camiseta,8.0,850.0,0.1,Luis Gonzalez,22.0,M,6800.0,6120.0,4,2,Media,140000
48,2024-04-04,Maria Perez,Este,Electronica,Laptop,2.0,35000.0,0.05,Rosa Jimenez,37.0,F,70000.0,66500.0,4,2,Alta,160000
49,2024-04-06,Luis Soto,Oeste,Hogar,Plancha,4.0,2800.0,0.0,Antonio Moreno,43.0,M,11200.0,11200.0,4,2,Media,130000
50,2024-04-08,Ana Garcia,Norte,Alimentacion,Arroz 5Lb,20.0,250.0,0.0,Isabel Pena,31.0,F,5000.0,5000.0,4,2,Baja,150000
51,2024-04-10,Carlos Lopez,Sur,Electronica,Tablet,2.0,18000.0,0.05,Miguel Torres,48.0,M,36000.0,34200.0,4,2,Alta,140000
52,2024-04-12,Maria Perez,Este,Ropa,Vestido,6.0,2200.0,0.0,Sandra Herrera,26.0,F,13200.0,13200.0,4,2,Media,160000
53,2024-04-14,Ana Garcia,Norte,Hogar,Licuadora,4.0,3500.0,0.1,Felipe Medina,34.0,M,14000.0,12600.0,4,2,Media,150000
54,2024-04-16,Luis Soto,Oeste,Electronica,Teclado,7.0,1800.0,0.05,Gloria Blanco,29.0,F,12600.0,11970.0,4,2,Media,130000
55,2024-04-18,Carlos Lopez,Sur,Alimentacion,Leche 1L,35.0,120.0,0.0,Arturo Campos,55.0,M,4200.0,4200.0,4,2,Baja,140000
56,2024-04-20,Maria Perez,Este,Electronica,Mouse,18.0,650.0,0.0,Pilar Santos,32.0,F,11700.0,11700.0,4,2,Media,160000
57,2024-04-22,Ana Garcia,Norte,Ropa,Pantalon,9.0,1500.0,0.05,Rodrigo Cruz,44.0,M,13500.0,12825.0,4,2,Media,150000
58,2024-04-24,Luis Soto,Oeste,Hogar,Microondas,2.0,12000.0,0.0,Marta Rios,27.0,F,24000.0,24000.0,4,2,Alta,130000
59,2024-04-26,Carlos Lopez,Sur,Electronica,Audifonos,12.0,1200.0,0.1,Gustavo Fuentes,39.0,M,14400.0,12960.0,4,2,Media,140000
60,2024-04-28,Maria Perez,Este,Alimentacion,Pasta 500G,40.0,95.0,0.0,Alicia Vargas,33.0,F,3800.0,3800.0,4,2,Baja,160000
61,2024-04-30,Ana Garcia,Norte,Electronica,Laptop,1.0,35000.0,0.05,Bernardo Lopez,47.0,M,35000.0,33250.0,4,2,Alta,150000
62,2024-05-02,Luis Soto,Oeste,Ropa,Zapatos,8.0,3200.0,0.0,Cecilia Gonzalez,30.0,F,25600.0,25600.0,5,2,Alta,130000
63,2024-05-04,Carlos Lopez,Sur,Alimentacion,Arroz 5Lb,25.0,250.0,0.0,Damian Jimenez,25.0,M,6250.0,6250.0,5,2,Media,140000
64,2024-05-06,Maria Perez,Este,Hogar,Plancha,5.0,2800.0,0.05,Elena Moreno,42.0,F,14000.0,13300.0,5,2,Media,160000
65,2024-05-08,Ana Garcia,Norte,Electronica,Monitor,3.0,28000.0,0.0,Fabian Pena,36.0,M,84000.0,84000.0,5,2,Alta,150000
66,2024-05-10,Luis Soto,Oeste,Electronica,Tablet,2.0,18000.0,0.1,Graciela Torres,28.0,F,36000.0,32400.0,5,2,Alta,130000
67,2024-05-12,Carlos Lopez,Sur,Hogar,Licuadora,6.0,3500.0,0.05,Humberto Herrera,51.0,M,21000.0,19950.0,5,2,Media,140000
68,2024-05-14,Maria Perez,Este,Ropa,Chaqueta,4.0,4500.0,0.0,Irene Medina,35.0,F,18000.0,18000.0,5,2,Media,160000
69,2024-05-16,Ana Garcia,Norte,Alimentacion,Leche 1L,30.0,120.0,0.0,Jacobo Blanco,29.0,M,3600.0,3600.0,5,2,Baja,150000
70,2024-05-18,Luis Soto,Oeste,Electronica,Mouse,20.0,650.0,0.05,Karen Campos,40.0,F,13000.0,12350.0,5,2,Media,130000
71,2024-05-20,Carlos Lopez,Sur,Ropa,Vestido,9.0,2200.0,0.0,Leonardo Santos,33.0,M,19800.0,19800.0,5,2,Media,140000
72,2024-05-22,Maria Perez,Este,Alimentacion,Aceite 1L,18.0,180.0,0.1,Miriam Cruz,26.0,F,3240.0,2916.0,5,2,Baja,160000
73,2024-05-24,Ana Garcia,Norte,Electronica,Teclado,8.0,1800.0,0.05,Nelson Rios,45.0,M,14400.0,13680.0,5,2,Media,150000
74,2024-05-26,Luis Soto,Oeste,Hogar,Sarten,9.0,950.0,0.0,Olga Fuentes,31.0,F,8550.0,8550.0,5,2,Media,130000
75,2024-05-28,Carlos Lopez,Sur,Electronica,Audifonos,14.0,1200.0,0.0,Pablo Vargas,38.0,M,16800.0,16800.0,5,2,Media,140000
